,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
63,246880,34113,42389,142655,21357,44284,131057,10060,39203,76671,9150,23365,75804,7062,25289,110427,9480,45684,98520,7839,28325,102999,5369,26226,58056,4546,22169,45728,6101,19137,74436,9948,30289,99241,10002,23189
64,247264,32957,43160,143147,22284,42866,131153,9827,39341,76851,8641,23693,75993,6743,25419,110455,9720,45416,100145,6539,28000,101956,5658,26980,58369,4367,22035,45237,5987,19742,74431,10340,29902,98723,9776,23933
65,246965,33411,43007,141436,21304,45556,130047,9513,40760,77040,8643,23503,76881,6760,24512,109644,9745,46202,99453,6849,28382,102513,5338,26743,58932,4295,21544,45561,6382,19023,74346,10297,30030,98631,10184,23617
66,247341,33232,42810,141863,21867,44566,130702,10046,39572,77712,8337,23137,75352,6811,25991,109749,9895,45947,99681,6884,28119,102360,4994,27239,58901,4497,21373,44545,6810,19611,74280,9969,30423,99219,10268,22945
67,247007,32992,43383,142134,21694,44468,130716,10256,39347,77669,8875,22642,75264,6970,25920,110955,9433,45203,99871,7013,27800,102475,5525,26594,58378,4466,21927,44744,6173,20048,73729,9979,30965,98528,10041,23864
68,248271,33251,41860,140950,22077,45269,131559,10012,38749,78035,8542,22608,76775,6795,24584,110581,9747,45263,100441,6932,27311,101927,5440,27227,58816,4785,21169,44828,6625,19513,73122,10455,31096,98836,10554,23042
69,248789,32204,42388,141639,22165,44492,130211,9815,40294,77110,8468,23608,76274,7276,24604,110143,10024,45423,99168,7089,28427,102943,5312,26338,59197,4377,21197,45610,6121,19234,74559,10324,29790,99273,10274,22885
70,247949,32278,43155,142561,21350,44386,130459,10003,39858,77429,8761,22997,76217,6881,25056,110410,9680,45501,99841,6775,28069,102450,5755,26389,58821,4588,21363,45736,6132,19098,74256,9732,30685,98754,10033,23645
71,245653,34800,42929,141894,22492,43910,130666,10192,39462,77454,8602,23130,75332,6802,26021,110303,9578,45710,100567,6626,27491,102770,5287,26537,58441,4501,21829,45514,6133,19319,74589,10155,29929,97831,11066,23534
72,248321,33376,41685,142444,21403,44449,130178,9816,40326,77277,8571,23338,76052,7263,24839,109185,9626,46780,99385,7198,28101,101672,5477,27446,58797,4860,21115,45845,5980,19141,73427,10743,30503,98509,10219,23704
